"Schalter";"Leer";"Studien-ID";"Matrikelnr";"Leer";"Leer";"Leer";"LV-Nummer";"LV-Gruppe"
"BY_MATNR_STUDIDF_ORGFORMKB";"";"1630 16 030";"03709181";"";"";"";"0000005308";"Standardgruppe"
"BY_MATNR_STUDIDF_ORGFORMKB";"";"1630 16 141";"03696336";"";"";"";"0000005308";"Standardgruppe"
"BY_MATNR_STUDIDF_ORGFORMKB";"";"1630 16 520";"03694105";"";"";"";"0000005308";"Standardgruppe"
"BY_MATNR_STUDIDF_ORGFORMKB";"";"1630 16 141";"03709327";"";"";"";"0000005308";"Standardgruppe"
"BY_MATNR_STUDIDF_ORGFORMKB";"";"1630 ";"ExSt_5259652fae";"";"";"";"0000005308";"Standardgruppe"
"BY_MATNR_STUDIDF_ORGFORMKB";"";"1630 16 030";"03720347";"";"";"";"0000005308";"Standardgruppe"
"BY_MATNR_STUDIDF_ORGFORMKB";"";"1630 16 143, 1630 16 030";"03712447";"";"";"";"0000005308";"Standardgruppe"
"BY_MATNR_STUDIDF_ORGFORMKB";"";"1630 ";"ExSt_4593b3fc1b";"";"";"";"0000005308";"Standardgruppe"
"BY_MATNR_STUDIDF_ORGFORMKB";"";"1630 16 141";"03705482";"";"";"";"0000005308";"Standardgruppe"
"BY_MATNR_STUDIDF_ORGFORMKB";"";"1630 16 030";"03696051";"";"";"";"0000005308";"Standardgruppe"
"BY_MATNR_STUDIDF_ORGFORMKB";"";"1630 16 030";"03671021";"";"";"";"0000005308";"Standardgruppe"
"BY_MATNR_STUDIDF_ORGFORMKB";"";"1630 16 141";"03660214";"";"";"";"0000005308";"Standardgruppe"
